Unit,Indicator,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018
Millions of Metric tons of CO2,CO2 emissions,0.206,0.24,0.224,0.191,0.201,0.214,0.178,0.179,0.177,0.175,0.175
Millions of Metric tons of CO2,CO2 emissions,0.022,0.025,0.023,0.023,0.03,0.039,0.025,0.021,0.019,0.019,0.021
Millions of Metric tons of CO2,CO2 emissions,0.527,0.546,0.563,0.437,0.46,0.481,0.505,0.558,0.552,0.553,0.523
Millions of Metric tons of CO2,CO2 emissions,1.393,2.519,1.917,1.614,1.77,2.077,2.329,2.491,3.074,3.056,3.205
Millions of Metric tons of CO2,CO2 emissions,0.183,0.181,0.144,0.138,0.151,0.14,0.131,0.161,0.169,0.187,0.195
Millions of Metric tons of CO2,CO2 emissions,1.375,1.255,1.354,1.187,1.262,1.369,1.137,1.356,1.44,1.49,1.497
Millions of Metric tons of CO2,CO2 emissions,1.176,1.043,1.034,0.977,1.04,1.046,0.932,1.102,1.138,1.14,1.175
Millions of Metric tons of CO2,CO2 emissions,0.115,0.115,0.155,0.132,0.139,0.146,0.122,0.132,0.13,0.127,0.125
Millions of Metric tons of CO2,CO2 emissions,0.64,0.641,0.782,0.684,0.754,0.829,0.637,0.716,0.732,0.723,0.731
Millions of Metric tons of CO2,CO2 emissions,0.802,0.446,0.609,0.412,0.573,0.532,0.373,0.254,0.293,0.35,0.332
Millions of Metric tons of CO2,CO2 emissions,0.237,0.26,0.262,0.208,0.225,0.235,0.182,0.184,0.181,0.17,0.168
Millions of Metric tons of CO2,CO2 emissions,0.306,0.246,0.29,0.301,0.289,0.289,0.213,0.227,0.209,0.237,0.243
Millions of Metric tons of CO2,CO2 emissions,1.248,1.095,1.367,1.317,1.413,1.327,1.319,0.945,0.956,0.968,0.939
Millions of Metric tons of CO2,CO2 emissions,0.254,0.273,0.311,0.304,0.334,0.321,0.243,0.304,0.308,0.34,0.346
Millions of Metric tons of CO2,CO2 emissions,12.335,9.812,11.228,10.951,9.397,6.443,5.901,6.92,7.624,7.451,8.771
Millions of Metric tons of CO2,CO2 emissions,3.015,2.472,2.392,2.379,2.439,2.377,2.17,2.692,2.491,2.502,2.465
Millions of Metric tons of CO2,CO2 emissions,0.047,0.039,0.096,0.064,0.089,0.088,0.08,0.074,0.075,0.079,0.074
Millions of Metric tons of CO2,CO2 emissions,0.348,0.352,0.501,0.574,0.631,0.625,0.629,0.559,0.561,0.696,0.803
Millions of Metric tons of CO2,CO2 emissions,1.157,1.151,0.756,0.844,0.853,0.895,0.863,0.766,0.834,0.795,0.763
Millions of Metric tons of CO2,CO2 emissions,22.536,21.823,22.815,21.481,22.281,23.055,23.69,23.445,23.122,24.782,24.456
Millions of Metric tons of CO2,CO2 emissions,12.131,12.136,13.922,15.726,16.565,16.341,16.202,16.169,14.642,14.995,14.812
Millions of Metric tons of CO2,CO2 emissions,0.166,0.167,0.078,0.083,0.09,0.095,0.098,0.086,0.087,0.087,0.083
Millions of Metric tons of CO2,CO2 emissions,48.426,40.929,52.969,56.141,56.736,56.1,56.646,56.314,52.465,56.864,54.998
Millions of Metric tons of CO2,CO2 emissions,13.641,11.501,12.172,12.968,12.585,12.477,12.12,11.866,11.978,12.735,11.687
Millions of Metric tons of CO2,CO2 emissions,23.814,24.228,28.621,29.384,31.681,32.956,35.095,32.785,28.871,29.83,30.863
Millions of Metric tons of CO2,CO2 emissions,0.834,0.637,0.08,0.081,0.095,0.103,0.114,0.095,0.077,0.081,0.103
Millions of Metric tons of CO2,CO2 emissions,4.614,4.248,4.865,5.44,5.81,5.756,5.461,4.273,3.893,3.366,3.075
Millions of Metric tons of CO2,CO2 emissions,0.458,0.416,0.406,0.434,0.437,0.454,0.447,0.415,0.423,0.405,0.349
Millions of Metric tons of CO2,CO2 emissions,0.561,0.431,0.277,0.289,0.28,0.285,0.27,0.246,0.223,0.211,0.217
Millions of Metric tons of CO2,CO2 emissions,32.151,21.32,32.614,25.802,41.071,61.576,76.5,71.835,48.406,51.872,43.144
Millions of Metric tons of CO2,CO2 emissions,0.568,0.366,0.202,0.221,0.242,0.242,0.235,0.21,0.207,0.209,0.228
Millions of Metric tons of CO2,CO2 emissions,0.715,0.681,0.697,0.781,0.707,0.671,0.639,0.617,0.623,0.583,0.532
Millions of Metric tons of CO2,CO2 emissions,0.098,0.095,0.078,0.082,0.1,0.117,0.098,0.083,0.118,0.094,0.085
