Unit,Indicator,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018
Millions of Metric tons of CO2,CO2 emissions,36.543,33.002,37.895,39.163,36.03,34.394,34.624,31.75,27.455,28.639,27.065
Millions of Metric tons of CO2,CO2 emissions,0.375,0.328,0.327,0.296,0.304,0.276,0.263,0.28,0.311,0.357,0.318
Millions of Metric tons of CO2,CO2 emissions,0.954,1.428,1.533,1.388,1.451,1.378,1.452,1.202,1.173,1.324,1.476
Millions of Metric tons of CO2,CO2 emissions,2.337,2.478,2.857,2.952,2.825,2.265,2.706,2.345,3.223,3.078,3.421
Millions of Metric tons of CO2,CO2 emissions,2.453,3.203,3.4,2.838,3.354,3.864,4.498,4.792,6.345,7.528,3.545
Millions of Metric tons of CO2,CO2 emissions,0.32,0.296,0.267,0.251,0.181,0.155,0.141,0.2,0.354,0.411,0.331
Millions of Metric tons of CO2,CO2 emissions,4.132,3.644,3.428,3.197,2.83,2.737,2.782,2.877,2.701,3.079,2.923
Millions of Metric tons of CO2,CO2 emissions,9.077,8.589,8.327,8.211,7.787,7.75,6.86,6.591,6.567,7.025,6.308
Millions of Metric tons of CO2,CO2 emissions,0.622,0.435,0.426,0.346,0.294,0.254,0.215,0.22,0.243,0.256,0.228
Millions of Metric tons of CO2,CO2 emissions,4.217,3.855,4.142,4.153,4.154,3.602,3.118,3.282,3.276,3.461,3.074
Millions of Metric tons of CO2,CO2 emissions,4.11,3.566,4.411,4.584,4.387,5.612,6.598,6.071,7.575,7.09,7.427
Millions of Metric tons of CO2,CO2 emissions,1.15,0.941,0.844,0.88,0.887,0.775,0.7,0.847,0.786,0.871,0.749
Millions of Metric tons of CO2,CO2 emissions,0.346,0.411,0.491,0.41,0.361,0.342,0.335,0.274,0.306,0.416,0.407
Millions of Metric tons of CO2,CO2 emissions,6.517,7.332,7.067,7.411,7.739,7.382,7.719,8.784,7.623,7.815,8.926
Millions of Metric tons of CO2,CO2 emissions,1.409,1.522,1.418,1.274,1.249,1.19,1.343,1.209,1.081,1.136,1.105
Millions of Metric tons of CO2,CO2 emissions,9.194,8.48,7.155,9.996,7.721,10.729,16.362,14.306,12.185,13.157,12.571
Millions of Metric tons of CO2,CO2 emissions,27.68,24.765,27.875,26.613,27.053,24.998,25.844,26.324,15.636,16.214,14.075
Millions of Metric tons of CO2,CO2 emissions,2.794,3.159,3.518,3.52,3.496,3.208,3.155,3.72,4.633,4.734,5.689
Millions of Metric tons of CO2,CO2 emissions,0.668,0.524,0.586,0.671,1.264,0.745,0.773,0.879,0.756,0.815,0.841
Millions of Metric tons of CO2,CO2 emissions,3.674,3.957,4.402,5.125,7.906,9.44,8.977,9.633,10.108,11.265,10.384
Millions of Metric tons of CO2,CO2 emissions,1.605,1.311,1.08,1.497,1.371,1.221,1.563,1.094,2.331,2.124,2.568
Millions of Metric tons of CO2,CO2 emissions,10.025,11.201,12.632,14.452,13.468,12.926,13.425,14.839,14.367,14.716,15.479
Millions of Metric tons of CO2,CO2 emissions,0.057,0.082,0.134,0.176,0.233,0.298,0.369,0.363,0.161,0.176,0.173
Millions of Metric tons of CO2,CO2 emissions,0.101,0.13,0.219,0.301,0.658,0.34,0.932,0.861,1.073,1.134,1.161
Millions of Metric tons of CO2,CO2 emissions,4.04,6.191,10.362,11.269,18.012,17.708,15.323,27.458,36.919,33.691,33.102
Millions of Metric tons of CO2,CO2 emissions,27.181,16.88,15.908,14.725,17.298,16.603,23.697,22.051,23.528,24.68,24.979
Millions of Metric tons of CO2,CO2 emissions,0.003,0.004,0.008,0.011,0.024,0.011,0.034,0.033,0.035,0.036,0.033
Millions of Metric tons of CO2,CO2 emissions,8.429,9.696,12.748,16.195,19.685,18.179,23.599,26.548,25.49,25.239,25.554
Millions of Metric tons of CO2,CO2 emissions,3.051,2.096,2.305,3.113,3.761,4.606,4.774,3.726,1.705,2.118,1.794
Millions of Metric tons of CO2,CO2 emissions,0.093,0.129,0.247,0.374,0.854,0.366,1.209,0.982,0.992,1.048,1.037
Millions of Metric tons of CO2,CO2 emissions,142.049,156.012,164.276,168.105,185.833,189.088,193.392,200.437,197.697,201.315,185.555
Millions of Metric tons of CO2,CO2 emissions,0.151,0.199,0.364,0.529,1.199,0.481,1.556,1.309,1.325,1.526,1.49
Millions of Metric tons of CO2,CO2 emissions,0.032,0.045,0.109,0.246,0.257,0.316,0.745,0.762,0.837,0.873,0.815
Millions of Metric tons of CO2,CO2 emissions,0.093,0.068,0.05,0.046,0.038,0.041,0.042,0.035,0.063,0.048,0.054
Millions of Metric tons of CO2,CO2 emissions,0.344,0.425,0.614,0.979,1.29,0.733,2.267,1.877,1.835,2.019,1.854
Millions of Metric tons of CO2,CO2 emissions,1.357,1.522,2.018,2.775,4.561,5.004,5.027,4.759,1.93,2.501,2.312
Millions of Metric tons of CO2,CO2 emissions,0.013,0.016,0.024,0.03,0.028,0.012,0.017,0.018,0.029,0.03,0.03
Millions of Metric tons of CO2,CO2 emissions,7.902,11.059,15.404,20.947,16.493,20.674,18.216,16.47,15.405,16.657,18.195
Millions of Metric tons of CO2,CO2 emissions,0.141,0.191,0.353,0.528,1.083,0.492,1.378,1.219,1.216,1.385,1.316
Millions of Metric tons of CO2,CO2 emissions,43.648,45.095,54.119,54.252,48.816,45.508,58.297,58.15,49.881,45.647,43.716
Millions of Metric tons of CO2,CO2 emissions,5.786,5.293,5.93,6.036,6.552,6.485,6.853,6.885,7.111,7.504,7.625
Millions of Metric tons of CO2,CO2 emissions,0.385,0.111,0.107,0.09,0.113,0.084,0.089,0.057,0.06,0.065,0.075
Millions of Metric tons of CO2,CO2 emissions,0.07,0.031,0.041,0.037,0.028,0.039,0.019,0.01,0.033,0.027,0.009
Millions of Metric tons of CO2,CO2 emissions,0.009,0.011,0.018,0.027,0.057,0.02,0.065,0.065,0.061,0.054,0.049
Millions of Metric tons of CO2,CO2 emissions,1.057,1.488,2.744,3.284,5.538,3.869,5.318,5.911,7.053,6.702,6.406
Millions of Metric tons of CO2,CO2 emissions,0.086,0.116,0.235,0.409,0.691,0.975,1.195,1.26,0.314,0.325,0.352
Millions of Metric tons of CO2,CO2 emissions,0.016,0.02,0.033,0.049,0.102,0.034,0.104,0.11,0.1,0.085,0.079
Millions of Metric tons of CO2,CO2 emissions,0.107,0.144,0.275,0.417,0.824,0.491,1.229,1.007,1.177,1.414,1.317
Millions of Metric tons of CO2,CO2 emissions,0.126,0.157,0.222,0.238,0.456,0.276,0.427,0.592,0.718,0.631,0.603
Millions of Metric tons of CO2,CO2 emissions,0.211,0.322,0.414,0.499,0.451,0.27,0.34,0.412,0.4,0.393,0.389
Millions of Metric tons of CO2,CO2 emissions,1.117,1.272,1.476,1.608,2.345,2.548,2.642,2.927,3.088,3.394,3.102
Millions of Metric tons of CO2,CO2 emissions,1.996,1.687,2.319,5.543,4.858,5.027,15.351,4.77,5.682,6.111,5.032
Millions of Metric tons of CO2,CO2 emissions,0.011,0.013,0.022,0.03,0.042,0.016,0.019,0.022,0.023,0.022,0.021
Millions of Metric tons of CO2,CO2 emissions,0.119,0.283,0.466,0.687,0.867,0.973,1.17,1.388,1.393,1.141,0.911
Millions of Metric tons of CO2,CO2 emissions,45.487,46.298,57.368,56.764,52.726,55.817,59.685,62.584,57.647,49.513,47.537
Millions of Metric tons of CO2,CO2 emissions,1.65,2.351,4.137,6.458,6.084,3.43,4.696,5.934,6.163,5.94,6.03
Millions of Metric tons of CO2,CO2 emissions,0.081,0.102,0.17,0.215,0.433,0.193,0.624,0.577,0.689,0.884,0.818
Millions of Metric tons of CO2,CO2 emissions,0.826,1.197,1.51,2.007,1.708,1.11,1.626,1.671,1.549,1.479,1.535
Millions of Metric tons of CO2,CO2 emissions,0.406,0.518,0.752,0.97,0.631,0.756,0.801,0.831,0.829,0.736,0.628
Millions of Metric tons of CO2,CO2 emissions,2.359,2.318,2.24,2.604,2.72,3.111,3.607,3.791,3.918,4.376,4.321
Millions of Metric tons of CO2,CO2 emissions,2.385,2.615,3.421,3.768,6.635,4.292,5.446,5.23,6.118,5.991,6.286
Millions of Metric tons of CO2,CO2 emissions,0.189,0.235,0.422,0.565,1.262,0.611,1.609,1.525,1.749,2.017,1.944
Millions of Metric tons of CO2,CO2 emissions,0.034,0.038,0.047,0.054,0.058,0.084,0.065,0.041,0.037,0.043,0.046
Millions of Metric tons of CO2,CO2 emissions,0.131,0.096,0.052,0.105,0.143,0.113,0.081,0.093,0.084,0.093,0.1
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,13.334,12.973,14.65,15.508,16.637,17.253,16.706,16.895,17.396,17.661,18.02
Millions of Metric tons of CO2,CO2 emissions,0.009,0.01,0.012,0.01,0.009,0.011,0.01,0.012,0.009,0.009,0.01
Millions of Metric tons of CO2,CO2 emissions,0,0,0.001,0.002,0.006,0.01,0.009,0.007,0.01,0.013,0.016
Millions of Metric tons of CO2,CO2 emissions,2.69,4.26,5.151,5.448,5.434,5.693,6.61,6.517,6.468,7.001,7.075
Millions of Metric tons of CO2,CO2 emissions,7.077,5.468,5.541,6.521,6.438,6.054,5.557,6.798,7.349,7.285,6.785
Millions of Metric tons of CO2,CO2 emissions,0.073,0.043,0.027,0.015,0.006,0.134,0.011,0.174,0.137,0.174,0.193
Millions of Metric tons of CO2,CO2 emissions,0.34,0.23,0.123,0.227,0.353,0.471,0.358,0.27,0.236,0.282,0.28
Millions of Metric tons of CO2,CO2 emissions,0.017,0.018,0.02,0.022,0.024,0.029,0.023,0.02,0.019,0.02,0.021
Millions of Metric tons of CO2,CO2 emissions,0.006,0.005,0.005,0.007,0.01,0.045,0.012,0.031,0.029,0.036,0.041
Millions of Metric tons of CO2,CO2 emissions,18.995,17.814,20.062,20.395,19.621,18.841,18.712,18.755,19.188,19.416,19.27
Millions of Metric tons of CO2,CO2 emissions,0.007,0.007,0.007,0.004,0.002,0.006,0.004,0.007,0.006,0.007,0.008
Millions of Metric tons of CO2,CO2 emissions,0.11,0.11,0.119,0.128,0.14,0.149,0.154,0.093,0.095,0.098,0.102
Millions of Metric tons of CO2,CO2 emissions,0.001,0.002,0.002,0.002,0.003,0.002,0.002,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.014,0.009,0.006,0.01,0.017,0.018,0.012,0.016,0.014,0.02,0.025
Millions of Metric tons of CO2,CO2 emissions,0.014,0.017,0.022,0.032,0.038,0.041,0.03,0.032,0.024,0.026,0.028
Millions of Metric tons of CO2,CO2 emissions,0.022,0.035,0.058,0.148,0.143,0.137,0.105,0.075,0.075,0.084,0.089
Millions of Metric tons of CO2,CO2 emissions,0.486,0.498,0.495,0.472,0.453,0.545,0.531,0.478,0.384,0.436,0.483
Millions of Metric tons of CO2,CO2 emissions,0.019,0.017,0.016,0.014,0.008,0.023,0.022,0.035,0.016,0.021,0.024
Millions of Metric tons of CO2,CO2 emissions,2.119,2.772,3.035,3.849,3.606,4.859,4.785,4.851,4.997,6.718,5.227
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.002,0.002,0.001,0.001,0,0.002,0.002,0.002,0.002,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,0.003,0.002,0.002,0.003,0.005,0.005,0.005,0.004,0.003,0.004,0.006
Millions of Metric tons of CO2,CO2 emissions,0.012,0.011,0.013,0.011,0.011,0.014,0.012,0.007,0.008,0.008,0.009
Millions of Metric tons of CO2,CO2 emissions,0.013,0.014,0.012,0.014,0.009,0.02,0.022,0.022,0.012,0.014,0.013
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.001,0.001,0.003,0.004,0.002,0.002,0.002,0.003
Millions of Metric tons of CO2,CO2 emissions,0.471,0.907,0.854,0.798,1.019,0.96,1.084,1.122,1.003,1.017,1.267
Millions of Metric tons of CO2,CO2 emissions,0.004,0.007,0.01,0.014,0.017,0.015,0.011,0.004,0.004,0.004,0.005
Millions of Metric tons of CO2,CO2 emissions,0.066,0.073,0.088,0.101,0.1,0.119,0.145,0.178,0.144,0.162,0.17
Millions of Metric tons of CO2,CO2 emissions,0.145,0.119,0.118,0.124,0.138,0.131,0.132,0.091,0.079,0.089,0.092
Millions of Metric tons of CO2,CO2 emissions,0.028,0.033,0.046,0.044,0.051,0.056,0.055,0.037,0.032,0.036,0.038
Millions of Metric tons of CO2,CO2 emissions,0.046,0.053,0.063,0.069,0.078,0.088,0.075,0.069,0.062,0.065,0.068
Millions of Metric tons of CO2,CO2 emissions,0.782,1.027,1.125,0.596,0.559,0.752,0.741,0.753,0.713,0.959,0.747
Millions of Metric tons of CO2,CO2 emissions,0.017,0.02,0.026,0.023,0.023,0.027,0.021,0.023,0.021,0.022,0.023
Millions of Metric tons of CO2,CO2 emissions,0.002,0.001,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.169,0.133,0.096,0.149,0.184,0.249,0.314,0.195,0.181,0.203,0.222
Millions of Metric tons of CO2,CO2 emissions,0.048,0.038,0.032,0.036,0.043,0.031,0.027,0.024,0.015,0.017,0.018
Millions of Metric tons of CO2,CO2 emissions,66.731,92.406,99.679,104.451,99.612,103.698,112.322,86.382,83.591,87.36,91.519
Millions of Metric tons of CO2,CO2 emissions,1.635,1.506,1.549,1.444,1.262,1.082,1.444,0.399,0.269,0.291,0.317
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.08,0.09,0.078,0.056,0.058,0.073,0.049,0.064,0.05,0.048,0.045
Millions of Metric tons of CO2,CO2 emissions,0.199,0.187,0.235,0.13,0.146,0.207,0.215,0.172,0.149,0.195,0.171
Millions of Metric tons of CO2,CO2 emissions,0.58,0.405,0.483,0.515,0.469,0.467,0.48,0.403,0.375,0.322,0.313
Millions of Metric tons of CO2,CO2 emissions,0.103,0,0.007,0.02,0.025,0.037,0.074,0.067,0.037,0.022,0.058
Millions of Metric tons of CO2,CO2 emissions,0.122,0.107,0.103,0.075,0.068,0.085,0.065,0.074,0.062,0.07,0.071
Millions of Metric tons of CO2,CO2 emissions,8.21,6.97,8.072,7.703,8.068,8.191,8.389,7.712,7.843,8.268,8.316
Millions of Metric tons of CO2,CO2 emissions,0.947,0.539,0.57,0.562,0.706,0.276,0.291,0.529,0.612,0.625,1.177
Millions of Metric tons of CO2,CO2 emissions,2,1.792,1.575,1.838,1.502,1.835,1.408,1.869,1.783,1.743,1.589
Millions of Metric tons of CO2,CO2 emissions,0.077,0.068,0.088,0.075,0.067,0.067,0.067,0.066,0.064,0.064,0.063
Millions of Metric tons of CO2,CO2 emissions,0.376,0.217,0.266,0.228,0.172,0.165,0.25,0.203,0.154,0.141,0.158
Millions of Metric tons of CO2,CO2 emissions,0.151,0.176,0.157,0.104,0.104,0.132,0.098,0.096,0.076,0.084,0.077
Millions of Metric tons of CO2,CO2 emissions,0.039,0.025,0.031,0.038,0.031,0.038,0.04,0.042,0.042,0.047,0.054
Millions of Metric tons of CO2,CO2 emissions,7.732,7.762,8.075,7.953,7.402,6.811,5.811,5.971,5.852,5.971,5.186
Millions of Metric tons of CO2,CO2 emissions,0.085,0.054,0.08,0.088,0.076,0.094,0.111,0.105,0.094,0.092,0.108
Millions of Metric tons of CO2,CO2 emissions,0.191,0.207,0.197,0.142,0.131,0.17,0.124,0.117,0.093,0.095,0.084
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0.001,0,0.002,0.001,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.335,0.298,0.243,0.255,0.306,0.26,0.269,0.271,0.242,0.269,0.274
Millions of Metric tons of CO2,CO2 emissions,0.177,0.223,0.204,0.152,0.139,0.159,0.125,0.116,0.098,0.105,0.097
Millions of Metric tons of CO2,CO2 emissions,0.09,0.131,0.118,0.09,0.088,0.11,0.082,0.087,0.076,0.09,0.083
Millions of Metric tons of CO2,CO2 emissions,2.183,1.887,2.271,2.428,1.799,2.379,2.025,2.029,2.026,2.357,2.246
Millions of Metric tons of CO2,CO2 emissions,0.087,0.045,0.056,0.054,0.061,0.067,0.067,0.061,0.064,0.07,0.084
Millions of Metric tons of CO2,CO2 emissions,0.152,0.119,0.132,0.104,0.091,0.091,0.09,0.073,0.063,0.063,0.06
Millions of Metric tons of CO2,CO2 emissions,0.317,0.371,0.412,0.361,0.356,0.359,0.313,0.214,0.26,0.236,0.239
Millions of Metric tons of CO2,CO2 emissions,0.057,0.019,0.017,0.017,0.017,0.017,0.021,0.02,0.018,0.02,0.094
Millions of Metric tons of CO2,CO2 emissions,0.039,0.012,0.015,0.014,0.017,0.009,0.009,0.01,0.011,0.012,0.051
Millions of Metric tons of CO2,CO2 emissions,0.189,0.202,0.246,0.217,0.243,0.226,0.194,0.193,0.189,0.176,0.241
Millions of Metric tons of CO2,CO2 emissions,1.317,1.047,1.01,1.045,0.903,1.322,1.431,1.612,1.642,1.695,1.509
Millions of Metric tons of CO2,CO2 emissions,0.057,0.066,0.075,0.045,0.045,0.054,0.038,0.039,0.034,0.042,0.039
Millions of Metric tons of CO2,CO2 emissions,0.005,0.005,0.005,0.004,0.004,0.003,0.004,0.006,0.005,0.004,0.006
Millions of Metric tons of CO2,CO2 emissions,0.585,0.587,0.264,0.226,0.14,0.149,0.107,0.131,0.114,0.113,0.112
Millions of Metric tons of CO2,CO2 emissions,0.111,0.07,0.072,0.057,0.084,0.027,0.029,0.058,0.064,0.061,0.113
Millions of Metric tons of CO2,CO2 emissions,0.038,0.042,0.037,0.028,0.035,0.032,0.029,0.022,0.017,0.02,0.019
Millions of Metric tons of CO2,CO2 emissions,0.349,0.332,0.344,0.235,0.236,0.263,0.271,0.289,0.231,0.243,0.223
Millions of Metric tons of CO2,CO2 emissions,0.3,0.405,0.35,0.264,0.233,0.29,0.171,0.195,0.17,0.219,0.212
Millions of Metric tons of CO2,CO2 emissions,0.06,0.075,0.078,0.042,0.044,0.045,0.031,0.03,0.025,0.03,0.027
Millions of Metric tons of CO2,CO2 emissions,0.373,0.444,0.415,0.274,0.269,0.378,0.229,0.241,0.228,0.212,0.195
Millions of Metric tons of CO2,CO2 emissions,0.099,0.091,0.094,0.122,0.114,0.106,0.133,0.094,0.092,0.099,0.091
Millions of Metric tons of CO2,CO2 emissions,0.117,0.131,0.114,0.076,0.067,0.08,0.057,0.053,0.04,0.043,0.038
Millions of Metric tons of CO2,CO2 emissions,0.07,0.047,0.072,0.087,0.06,0.052,0.062,0.041,0.041,0.035,0.029
Millions of Metric tons of CO2,CO2 emissions,0.338,0.228,0.251,0.214,0.301,0.285,0.241,0.279,0.221,0.266,0.279
Millions of Metric tons of CO2,CO2 emissions,0.113,0.111,0.104,0.079,0.057,0.073,0.088,0.057,0.054,0.061,0.071
Millions of Metric tons of CO2,CO2 emissions,0.065,0.054,0.05,0.027,0.033,0.025,0.024,0.034,0.024,0.012,0.015
Millions of Metric tons of CO2,CO2 emissions,1.295,1.077,1.287,1.165,1.035,1.066,0.686,0.643,0.673,0.629,0.563
Millions of Metric tons of CO2,CO2 emissions,0.06,0.031,0.059,0.036,0.029,0.022,0.02,0.019,0.026,0.023,0.027
Millions of Metric tons of CO2,CO2 emissions,0.052,0.04,0.039,0.039,0.031,0.031,0.025,0.028,0.035,0.034,0.031
Millions of Metric tons of CO2,CO2 emissions,0.045,0.04,0.042,0.043,0.036,0.036,0.03,0.033,0.04,0.042,0.038
Millions of Metric tons of CO2,CO2 emissions,0.367,0.306,0.3,0.317,0.327,0.324,0.333,0.333,0.341,0.355,0.357
Millions of Metric tons of CO2,CO2 emissions,0.162,0.158,0.155,0.162,0.159,0.157,0.155,0.185,0.245,0.183,0.194
Millions of Metric tons of CO2,CO2 emissions,0.031,0.027,0.028,0.028,0.023,0.021,0.016,0.017,0.022,0.02,0.017
Millions of Metric tons of CO2,CO2 emissions,0.323,0.275,0.292,0.29,0.299,0.298,0.294,0.302,0.312,0.352,0.342
Millions of Metric tons of CO2,CO2 emissions,0.085,0.082,0.096,0.075,0.067,0.065,0.06,0.054,0.053,0.05,0.05
Millions of Metric tons of CO2,CO2 emissions,0.065,0.065,0.076,0.044,0.061,0.049,0.049,0.052,0.044,0.051,0.069
Millions of Metric tons of CO2,CO2 emissions,0.019,0.014,0.016,0.014,0.016,0.013,0.011,0.009,0.01,0.01,0.016
Millions of Metric tons of CO2,CO2 emissions,0.642,0.33,0.224,0.208,0.206,0.183,0.156,0.145,0.161,0.187,0.184
Millions of Metric tons of CO2,CO2 emissions,0.084,0.065,0.067,0.063,0.05,0.048,0.038,0.04,0.048,0.044,0.038
Millions of Metric tons of CO2,CO2 emissions,0.054,0.042,0.051,0.047,0.049,0.042,0.038,0.044,0.045,0.047,0.068
Millions of Metric tons of CO2,CO2 emissions,6.322,6.046,6.162,6.263,5.984,5.765,4.498,4.547,4.881,4.91,4.791
Millions of Metric tons of CO2,CO2 emissions,0.115,0.064,0.075,0.074,0.077,0.07,0.059,0.052,0.056,0.058,0.082
Millions of Metric tons of CO2,CO2 emissions,0.058,0.054,0.059,0.05,0.032,0.033,0.029,0.032,0.034,0.028,0.025
Millions of Metric tons of CO2,CO2 emissions,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.168,0.129,0.126,0.116,0.101,0.104,0.122,0.106,0.102,0.104,0.118
Millions of Metric tons of CO2,CO2 emissions,0.075,0.063,0.062,0.059,0.044,0.043,0.038,0.042,0.053,0.046,0.04
Millions of Metric tons of CO2,CO2 emissions,0.022,0.021,0.022,0.02,0.015,0.016,0.012,0.014,0.018,0.016,0.014
Millions of Metric tons of CO2,CO2 emissions,1.144,1.03,1.041,1.185,1.137,1.165,1.175,1.23,1.16,1.261,1.307
Millions of Metric tons of CO2,CO2 emissions,0.058,0.036,0.035,0.036,0.038,0.032,0.029,0.03,0.032,0.035,0.052
Millions of Metric tons of CO2,CO2 emissions,0.049,0.05,0.049,0.053,0.046,0.047,0.041,0.04,0.048,0.051,0.044
Millions of Metric tons of CO2,CO2 emissions,0.009,0.007,0.015,0.005,0.005,0.007,0.006,0.006,0.001,0.001,0
Millions of Metric tons of CO2,CO2 emissions,0.03,0.025,0.023,0.017,0.016,0.017,0.016,0.017,0.016,0.018,0.018
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.051,0.043,0.046,0.04,0.035,0.035,0.03,0.033,0.033,0.036,0.033
Millions of Metric tons of CO2,CO2 emissions,0.732,0.528,0.509,0.491,0.448,0.481,0.52,0.506,0.535,0.609,0.667
Millions of Metric tons of CO2,CO2 emissions,0.022,0.018,0.018,0.017,0.012,0.012,0.008,0.009,0.011,0.009,0.008
Millions of Metric tons of CO2,CO2 emissions,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,0.35,0.343,0.309,0.298,0.292,0.286,0.276,0.266,0.264,0.263,0.274
Millions of Metric tons of CO2,CO2 emissions,0.105,0.111,0.118,0.095,0.091,0.096,0.078,0.082,0.085,0.083,0.082
Millions of Metric tons of CO2,CO2 emissions,0.015,0.014,0.015,0.018,0.018,0.018,0.009,0.01,0.012,0.013,0.013
Millions of Metric tons of CO2,CO2 emissions,0.138,0.118,0.119,0.111,0.085,0.083,0.06,0.065,0.075,0.069,0.06
Millions of Metric tons of CO2,CO2 emissions,0.081,0.077,0.077,0.07,0.052,0.053,0.048,0.05,0.061,0.056,0.049
Millions of Metric tons of CO2,CO2 emissions,0.019,0.016,0.016,0.014,0.011,0.01,0.007,0.008,0.008,0.007,0.005
Millions of Metric tons of CO2,CO2 emissions,0.064,0.066,0.065,0.062,0.04,0.036,0.032,0.036,0.045,0.036,0.033
Millions of Metric tons of CO2,CO2 emissions,0.054,0.046,0.054,0.047,0.041,0.044,0.043,0.04,0.04,0.044,0.039
Millions of Metric tons of CO2,CO2 emissions,0.033,0.026,0.027,0.023,0.016,0.016,0.013,0.013,0.015,0.012,0.01
Millions of Metric tons of CO2,CO2 emissions,0.066,0.045,0.045,0.035,0.031,0.033,0.029,0.027,0.028,0.027,0.023
Millions of Metric tons of CO2,CO2 emissions,0.15,0.046,0.059,0.069,0.064,0.065,0.046,0.048,0.057,0.052,0.044
Millions of Metric tons of CO2,CO2 emissions,0.053,0.037,0.049,0.054,0.048,0.049,0.044,0.042,0.05,0.059,0.057
Millions of Metric tons of CO2,CO2 emissions,0.141,0.036,0.025,0.038,0.042,0.051,0.045,0.053,0.093,0.105,0.145
Millions of Metric tons of CO2,CO2 emissions,0.329,0.247,0.23,0.228,0.189,0.186,0.171,0.182,0.224,0.224,0.2
Millions of Metric tons of CO2,CO2 emissions,0.029,0.022,0.025,0.024,0.023,0.019,0.024,0.022,0.025,0.028,0.031
Millions of Metric tons of CO2,CO2 emissions,0.292,0.279,0.14,0.144,0.23,0.261,0.26,0.228,0.204,0.316,0.328
Millions of Metric tons of CO2,CO2 emissions,1.993,1.887,1.354,1.562,2.127,2.519,2.492,2.551,2.437,2.88,2.886
Millions of Metric tons of CO2,CO2 emissions,4.629,4.431,5.382,7.292,8.143,8.995,9.356,9.263,8.703,10.168,10.11
Millions of Metric tons of CO2,CO2 emissions,5.17,4.915,4.863,5.111,5.082,5.319,5.28,5.531,5.687,6.473,6.61
Millions of Metric tons of CO2,CO2 emissions,1.094,1.102,0.612,0.659,0.964,0.209,0.203,0.194,0.183,0.246,0.244
Millions of Metric tons of CO2,CO2 emissions,71.778,49.409,92.435,81.876,82.79,86.118,83.146,84.229,84.676,89.78,88.748
Millions of Metric tons of CO2,CO2 emissions,1.728,1.559,0.233,1.962,1.925,2.002,2.117,2.188,2.102,2.349,2.436
Millions of Metric tons of CO2,CO2 emissions,4.171,4.91,4.836,6.551,6.161,5.167,4.862,5.316,4.836,4.929,5.106
Millions of Metric tons of CO2,CO2 emissions,0.007,0.006,0.007,0.006,0.007,0.008,0.008,0.007,0.007,0.013,0.013
Millions of Metric tons of CO2,CO2 emissions,2.555,2.626,2.596,2.721,3.381,3.796,3.327,3.329,3.067,4.061,4.057
Millions of Metric tons of CO2,CO2 emissions,0.761,0.758,0.368,0.413,0.672,0.786,0.782,0.712,0.651,1.005,1.002
Millions of Metric tons of CO2,CO2 emissions,0.104,0.091,0.13,0.128,0.191,0.206,0.182,0.175,0.166,0.174,0.167
Millions of Metric tons of CO2,CO2 emissions,237.279,219.055,233.453,221.184,228.552,228.402,240.951,219.392,224.416,213.572,212.41
Millions of Metric tons of CO2,CO2 emissions,0.031,0.028,0.029,0.032,0.035,0.03,0.028,0.027,0.024,0.047,0.048
Millions of Metric tons of CO2,CO2 emissions,1.314,1.252,0.591,0.68,1.04,1.185,1.17,1.061,0.966,1.503,1.509
Millions of Metric tons of CO2,CO2 emissions,0.564,0.639,0.225,0.239,0.246,0.433,0.414,0.292,0.272,0.287,0.278
Millions of Metric tons of CO2,CO2 emissions,0.051,0.046,0.112,0.117,0.14,0.174,0.2,0.203,0.198,0.285,0.295
Millions of Metric tons of CO2,CO2 emissions,0.83,0.827,0.488,0.523,0.797,0.894,0.872,0.813,0.761,1.117,1.142
Millions of Metric tons of CO2,CO2 emissions,1.178,1.125,0.929,1.024,1.323,1.516,1.471,1.605,1.55,1.811,1.824
